
1,Question 1 - Similarity with Answer: 52.55%
2,Question 2 - Similarity with Answer: 12.12%
1,Question 1 - Similarity with Answer: 27.20%
2,Question 2 - Similarity with Answer: 57.73%
3,Question 3 - Similarity with Answer: 47.73%
1,Question 1 - Similarity with Answer: 51.32%
2,Question 2 - Similarity with Answer: 63.41%
3,Question 3 - Similarity with Answer: 61.26%
1,Question 1 - Similarity with Answer: 43.36%
2,Question 2 - Similarity with Answer: 62.39%
3,Question 3 - Similarity with Answer: 52.54%
1,Question 1 - Similarity with Answer: 65.77%
2,Question 2 - Similarity with Answer: 63.41%
3,Question 3 - Similarity with Answer: 47.31%
1,Question 1 - Similarity with Answer: 18.33%
2,Question 2 - Similarity with Answer: 14.49%
1,Question 1 - Similarity with Answer: 70.06%
2,Question 2 - Similarity with Answer: 51.33%
3,Question 3 - Similarity with Answer: 50.00%
1,Question 1 - Similarity with Answer: 74.53%
2,Question 2 - Similarity with Answer: 67.72%
3,Question 3 - Similarity with Answer: 60.55%
1,Question 1 - Similarity with Answer: 45.59%
2,Question 2 - Similarity with Answer: 60.66%
3,Question 3 - Similarity with Answer: 56.41%
1,Question 1 - Similarity with Answer: 72.61%
2,Question 2 - Similarity with Answer: 58.73%
3,Question 3 - Similarity with Answer: 60.55%
1,Question 1 - Similarity with Answer: 59.86%
2,Question 2 - Similarity with Answer: 59.65%
3,Question 3 - Similarity with Answer: 58.62%
1,Question 1 - Similarity with Answer: 43.36%
2,Question 2 - Similarity with Answer: 59.65%
3,Question 3 - Similarity with Answer: 56.52%
1,Question 1 - Similarity with Answer: 73.42%
2,Question 2 - Similarity with Answer: 62.39%
3,Question 3 - Similarity with Answer: 60.55%
1,Question 1 - Similarity with Answer: 72.61%
2,Question 2 - Similarity with Answer: 15.73%
3,Question 3 - Similarity with Answer: 25.29%
1,Question 1 - Similarity with Answer: 65.77%
2,Question 2 - Similarity with Answer: 56.31%
3,Question 3 - Similarity with Answer: 57.14%
1,Question 1 - Similarity with Answer: 72.61%
2,Question 2 - Similarity with Answer: 59.65%
3,Question 3 - Similarity with Answer: 57.14%
1,Question 1 - Similarity with Answer: 75.78%
2,Question 2 - Similarity with Answer: 59.65%
3,Question 3 - Similarity with Answer: 52.73%
1,Question 1 - Similarity with Answer: 71.34%
2,Question 2 - Similarity with Answer: 53.70%
3,Question 3 - Similarity with Answer: 53.10%
1,Question 1 - Similarity with Answer: 72.61%
2,Question 2 - Similarity with Answer: 56.31%
3,Question 3 - Similarity with Answer: 42.67%
1,Question 1 - Similarity with Answer: 48.06%
2,Question 2 - Similarity with Answer: 47.27%
3,Question 3 - Similarity with Answer: 61.54%
2,Question 2 - Similarity with Answer: 26.32%
1,Question 1 - Similarity with Answer: 65.77%
2,Question 2 - Similarity with Answer: 62.26%
3,Question 3 - Similarity with Answer: 52.83%
1,Question 1 - Similarity with Answer: 70.13%
2,Question 2 - Similarity with Answer: 59.65%
3,Question 3 - Similarity with Answer: 56.88%
1,Question 1 - Similarity with Answer: 77.30%
2,Question 2 - Similarity with Answer: 60.00%
3,Question 3 - Similarity with Answer: 51.85%
1,Question 1 - Similarity with Answer: 77.30%
2,Question 2 - Similarity with Answer: 57.85%
3,Question 3 - Similarity with Answer: 51.85%
